Var1,Var2
Exchange/demand reaction,"Exchange of Sodium"
Exchange/demand reaction,"Exchange of Nitrite "
Exchange/demand reaction,"Exchange of Oxugen"
Exchange/demand reaction,"Exchange of Ornithine "
Exchange/demand reaction,"Exchange of Phosphate "
Exchange/demand reaction,"Exchange of Ppi"
Exchange/demand reaction,"Exchange of L-Proline "
Exchange/demand reaction,"Exchange of Riboflavin"
Exchange/demand reaction,"Exchange of L-Serine"
Exchange/demand reaction,"Exchange of Sulfate "
Exchange/demand reaction,"Exchange of Succinate "
Exchange/demand reaction,"Exchange of Thymidine "
Exchange/demand reaction,"Exchange of Urea "
Exchange/demand reaction,"Exchange of Uridine"
Exchange/demand reaction,"Exchange of L-Valine "
Glycolysis/gluconeogenesis,"Fructose-Bisphosphate Aldolase"
Fructose and mannose metabolism,"D-Fructose 1-Phosphate D-Glyceraldehyde-3-Phosphate-Lyase"
Glycolysis/gluconeogenesis,"Fructose-Bisphosphatase"
Heme synthesis,"Ferrochelatase, Cytosol"
Vitamin B2 metabolism,"Ferroxidase"
Vitamin B2 metabolism,"FMN Adenylyltransferase"
Folate metabolism,"Folylpolyglutamate Synthetase (10Fthf)"
N-glycan synthesis,"Farnesyltranstransferase (Trans, Trans, Cis-Geranylgeranyl Diphosphate-Generating)"
Folate metabolism,"5-Formethyltetrahydrofolate Cyclo-Ligase"
Citric acid cycle,"Fumarase"
Glycerophospholipid metabolism,"Glycerol-3-Phosphate Dehydrogenase (NAD)"
Urea cycle,"L-Glutamate 5-Semialdehyde Dehydratase (Spontaneous)"
Pentose phosphate pathway,"Glucose 6-Phosphate Dehydrogenase"
Galactose metabolism,"UTP-Glucose-1-Phosphate Uridylyltransferase"
"Transport, extracellular","D-Galactose Transport via Proton Symport"
Glycolysis/gluconeogenesis,"Glyceraldehyde-3-Phosphate Dehydrogenase"
Aminosugar metabolism,"Glutamine-Fructose-6-Phosphate Transaminase"
"Glycine, serine, alanine, and threonine metabolism","Glycine Hydroxymethyltransferase, Reversible"
Nucleotide interconversion,"Guanylate Kinase (GMP:ATP)"
Glutamate metabolism,"Glutamine Synthetase"
"Transport, extracellular","Hydrolysis of Glycylleucine"
"Transport, extracellular","Transport of Glycylleucine by the Apical Pept1 Amino Acid Transporters"
Pentose phosphate pathway,"Hydrolysis of Glycylphenylalanine"
"Transport, extracellular","Hydrolysis of Prolylglycine"
Fructose and mannose metabolism,"GDP-D-Mannose Dehydratase"
Nucleotide interconversion,"GMP Synthase"
Cholesterol metabolism,"Geranyltranstransferase"
Tetrahydrobiopterin metabolism,"GTP Cyclohydrolase I"
Nucleotide salvage pathway,"Guanine Phosphoribosyltransferase"
Miscellaneous,"Carboxylic Acid Dissociation"
"Transport, extracellular","H2O Transport via Diffusion"
Glycolysis/gluconeogenesis,"Hexokinase (D-Glucose:ATP)"
Heme synthesis,"Hydroxymethylbilane Synthase"
"Valine, leucine, and isoleucine metabolism","Isoleucine Transaminase"
Nucleotide interconversion,"IMP Dehydrogenase"
"Transport, extracellular","Inosine Transport in via Proton Symport, Reversible"
"Valine, leucine, and isoleucine metabolism","Leucine Transaminase"
"Transport, extracellular","L-Lactate Reversible Transport via Proton Symport"
Fructose and mannose metabolism,"Mannose-1-Phosphate Guanylyltransferase (GDP)"
Fructose and mannose metabolism,"Mannose-6-Phosphate Isomerase"
Folate metabolism,"Methenyltetrahydrofolate Cyclohydrolase"
Folate metabolism,"Methylenetetrahydrofolate Dehydrogenase (NADP)"
NAD metabolism,"NAD Kinase"
"Transport, extracellular","Sodium Proton Antiporter (H:Na Is 1:1)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:GDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:UDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dTDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dGDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dCDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dADP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:IDP)"
NAD metabolism,"Nicotinate-Nucleotide Adenylyltransferase"
NAD metabolism,"Nicotinate-Nucleotide Diphosphorylase (Carboxylating)"
Pyrimidine catabolism,"5'-Nucleotidase (dUMP)"
"Transport, extracellular","O2 Transport (Diffusion)"
Pyrimidine synthesis,"Orotidine-5'-Phosphate Decarboxylase"
Glycolysis/gluconeogenesis,"Glucose-6-Phosphate Isomerase"
Glycolysis/gluconeogenesis,"Phosphoglycerate Kinase"
Pentose phosphate pathway,"6-Phosphogluconolactonase"
Glycolysis/gluconeogenesis,"Phosphoglycerate Mutase"
Glycolysis/gluconeogenesis,"Phosphoglucomutase"
"Transport, extracellular","Transport of Orthophosphate"
Fructose and mannose metabolism,"Phosphomannomutase"
NAD metabolism,"Purine-Nucleoside Phosphorylase"
CoA synthesis,"Pantothenate Kinase"
Oxidative phosphorylation,"Inorganic Diphosphatase"
Heme synthesis,"Porphobilinogen Synthase"
CoA synthesis,"Phosphopantothenoylcysteine Decarboxylase"
Pentose phosphate pathway,"Phosphopentomutase"
CoA synthesis,"Phosphopantothenate-Cysteine Ligase"
"Transport, extracellular","L-ProlineNAD+ 5-Oxidoreductase"
Arginine and proline metabolism,"Proline Dehydrogenase"
"Transport, extracellular","L-Proline Reversible Transport via Proton Symport"
Pentose phosphate pathway,"Phosphoribosylpyrophosphate Synthetase"
"Glycine, serine, alanine, and threonine metabolism","Phosphoserine Transaminase"
"Glycine, serine, alanine, and threonine metabolism","Phosphoserine Phosphatase (L-Serine)"
CoA synthesis,"Phosphopantetheine Adenylyltransferase (Ec 2.7.7.3)"
Nucleotide interconversion,"Purine-Nucleoside Phosphorylase (Adenosine)"
Purine catabolism,"Purine-Nucleoside Phosphorylase (Deoxyadenosine)"
Purine catabolism,"Purine-Nucleoside Phosphorylase (Guanosine)"
Purine catabolism,"Purine-Nucleoside Phosphorylase (Deoxyguanosine)"
Purine catabolism,"Purine-Nucleoside Phosphorylase (Inosine)"
Purine catabolism,"Purine-Nucleoside Phosphorylase (Deoxyinosine)"
Nucleotide interconversion,"Purine-Nucleoside Phosphorylase (Xanthosine)"
Vitamin B2 metabolism,"Riboflavin Kinase"
Nucleotide interconversion,"Ribonucleoside-Diphosphate Reductase (ADP)"
Nucleotide interconversion,"Ribonucleoside-Diphosphate Reductase (GDP)"
Nucleotide interconversion,"Ribonucleoside-Diphosphate Reductase (CDP)"
Nucleotide interconversion,"Ribonucleoside-Diphosphate Reductase (UDP)"
Pentose phosphate pathway,"Ribulose 5-Phosphate 3-Epimerase"
Pentose phosphate pathway,"Ribose-5-Phosphate Isomerase"
Urea cycle,"Spermidine Synthase"
ROS detoxification,"Superoxide Dismutase"
Pentose phosphate pathway,"Transaldolase"
"Transport, extracellular","Thymidine Transport in via Proton Symport Reversible"
"Glycine, serine, alanine, and threonine metabolism","Threonine Synthase"
Pentose phosphate pathway,"Transketolase"
Pentose phosphate pathway,"Transketolase"
Nucleotide interconversion,"Thymidine Kinase (ATP:Thymidine)"
Thiamine metabolism,"Thiamin Pyrophosphokinase (Ec 2.7.6.2)"
Glycolysis/gluconeogenesis,"Triose-Phosphate Isomerase"
Aminosugar metabolism,"UDP-N-Acetylglucosamine 4-Epimerase"
Aminosugar metabolism,"UDP-N-Acetylglucosamine Diphosphorylase"
Galactose metabolism,"UDPglucose 4-Epimerase"
Nucleotide interconversion,"UMP Kinase"
Heme synthesis,"Uroporphyrinogen-Iii Synthase"
Heme synthesis,"Uroporphyrinogen Decarboxylase (Uroporphyrinogen Iii)"
"Transport, extracellular","Urea Transport via Facilitate Diffusion"
Nucleotide interconversion,"ATP:dUMP Phosphotransferase"
"Transport, extracellular","Uridine Transport in via Proton Symport Reversible"
"Valine, leucine, and isoleucine metabolism","Valine Transaminase"
Methionine and cysteine metabolism,"L-Serine Ammonia-Lyase Ec:4.3.1.17"
Miscellaneous,"Oxalosuccinate:NADP+ Oxidoreductase (Decarboxylating) Ec:1.1.1.42"
Alanine and aspartate metabolism,"L-Asparagine Amidohydrolase / Cyanoamino Acid Metabolism / Nitrogen Metabolism Ec:3.5.1.1 Ec:3.5.1.38"
Miscellaneous,"Propinol Adenylate:Coa Ligase (AMP-Forming) Ec:6.2.1.17 Ec:6.2.1.1"
Miscellaneous,"Propanoate:Coa Ligase (AMP-Forming) Ec:6.2.1.1 Ec:6.2.1.17"
Nucleotide interconversion,"ATP:AMP Phosphotransferase Ec:2.7.4.11"
Tetrahydrobiopterin metabolism,"NADPH:6, 7-Dihydropteridine Oxidoreductase Ec:1.5.1.34"
Miscellaneous,"Isocitrate:NADP+ Oxidoreductase (Decarboxylating) Ec:1.1.1.42"
Pentose phosphate pathway,"2-Deoxy-D-Ribose 1-Phosphate 1, 5-Phosphomutase Ec:5.4.2.7"
CoA synthesis,"(R)-4-Phosphopantothenate:L-Cysteine Ligase Ec:6.3.2.5"
Fatty acid oxidation,"Acetyl Coenzyme A Carboxylase"
Folate metabolism,"Folylpolyglutamate Synthetase"
Exchange/demand reaction,"Exchange of (R)-Pantothenate "
Exchange/demand reaction,"Exchange of Glycine"
"Transport, extracellular","Glycine Reversible Transport via Proton Symport"
Exchange/demand reaction,"Exchange of L-Cysteine"
Exchange/demand reaction,"Exchange of L-Alanine"
"Transport, extracellular","L-Alanine Reversible Transport via Proton Symport"
Exchange/demand reaction,"Exchange of L-Histidine"
Exchange/demand reaction,"Exchange of L-Threonine "
Exchange/demand reaction,"Exchange of L-Glutamine"
Exchange/demand reaction,"Exchange of L-Phenylalanine"
Exchange/demand reaction,"Exchange of L-Tyrosine "
Pyrimidine catabolism,"5'-Nucleotidase (UMP)"
Pyrimidine catabolism,"5'-Nucleotidase (CMP)"
Pyrimidine catabolism,"5'-Nucleotidase (dTMP)"
Nucleotide interconversion,"5'-Nucleotidase (dAMP)"
Nucleotide interconversion,"5'-Nucleotidase (AMP)"
Nucleotide interconversion,"5'-Nucleotidase (dGMP)"
Nucleotide interconversion,"5'-Nucleotidase (GMP)"
Nucleotide interconversion,"5'-Nucleotidase (XMP)"
Purine catabolism,"5'-Nucleotidase (IMP)"
Exchange/demand reaction,"Exchange of L-Arginine "
Exchange/demand reaction,"Exchange of Formate "
NAD metabolism,"NAD Synthase (Glutamine-Hydrolysing)"
Exchange/demand reaction,"Exchange of Nicotinate "
"Transport, extracellular","Transport of Guanine "
Nucleotide interconversion,"ADPribose Diphosphatase"
Exchange/demand reaction,"Exchange of Indole-3-Acetate"
Exchange/demand reaction,"Exchange of Ammonia "
"Transport, extracellular","Transport of Ammonium ion"
Exchange/demand reaction,"Exchange of Acetate "
Miscellaneous,"Alcohol Dehydrogenase (Methanol)"
Pentose phosphate pathway,"Ribokinase"
Nucleotide interconversion,"Adenosine Kinase"
Glyoxylate and dicarboxylate metabolism,"Glycolaldehyde Dehydrogenase"
Miscellaneous,"ATP:(R)-Glycerate 3-Phosphotransferase Ec:2.7.1.31"
Beta-Alanine metabolism,"Aminobutyraldehyde Dehydrogenase"
Glycolysis/gluconeogenesis,"Acylphosphatase"
Aminosugar metabolism,"N-Acetylglucosamine-6-Phosphate Deacetylase"
Purine synthesis,"Phosphoribosylaminoimidazolecarboxamide Formyltransferase"
Glycolysis/gluconeogenesis,"Aldehyde Dehydrogenase (Acetaldehyde, NAD)"
Aminosugar metabolism,"N-Acetyl-D-Mannosamine Kinase"
Alanine and aspartate metabolism,"Argininosuccinate Lyase"
Citric acid cycle,"Citrate Lyase"
Pyrimidine catabolism,"Cytosine Deaminase"
Nucleotide interconversion,"Cytidylate Kinase (CMP)"
Nucleotide interconversion,"Cytidylate Kinase (dCMP)"
Pentose phosphate pathway,"Deoxyribokinase"
Exchange/demand reaction,"Exchange of N-Acetyl-D-Glucosamine "
Exchange/demand reaction,"Exchange of Citrate "
Exchange/demand reaction,"Exchange of Cytosine "
Exchange/demand reaction,"Exchange of Deoxyribose "
Exchange/demand reaction,"Exchange of Ethanolamine "
Exchange/demand reaction,"Exchange of Folate"
Exchange/demand reaction,"Exchange of D-Fructose"
Exchange/demand reaction,"Exchange of Galactitol"
Exchange/demand reaction,"Exchange of Glcr"
Exchange/demand reaction,"Exchange of D-Glucuronate "
Exchange/demand reaction,"Exchange of Glycerol "
Exchange/demand reaction,"Exchange of Hypoxanthine "
Exchange/demand reaction,"Exchange of Maltose "
Exchange/demand reaction,"Exchange of Maltohexaose "
Exchange/demand reaction,"Exchange of Maltotriose "
Exchange/demand reaction,"Exchange of D-Mannose"
Exchange/demand reaction,"Exchange of 1, 4-Butanediammonium"
Exchange/demand reaction,"Exchange of Ribose"
Exchange/demand reaction,"Exchange of Spermidine"
Exchange/demand reaction,"Exchange of Thiamin"
Exchange/demand reaction,"Exchange of L-Tryptophan "
Exchange/demand reaction,"Exchange of Uracil "
Exchange/demand reaction,"Exchange of Xanthine "
Exchange/demand reaction,"Exchange of D-Xylose "
Fatty acid oxidation,"Fatty-Acid- Coenzyme A Ligase (Hexadecenoate)"
Aminosugar metabolism,"Glucosamine-6-Phosphate Deaminase"
Galactose metabolism,"Galactokinase"
Galactose metabolism,"Galactose-1-Phosphate Uridylyltransferase"
Purine synthesis,"Glutamine Phosphoribosyldiphosphate Amidotransferase"
Glyoxylate and dicarboxylate metabolism,"Glyoxylate Oxidase"
Glycerophospholipid metabolism,"Glycerol Kinase"
Pyruvate metabolism,"Hydroxyacylglutathione Hydrolase"
Pentose phosphate pathway,"Phosphogluconate Dehydrogenase"
Glycerophospholipid metabolism,"Glycerophosphodiester Phosphodiesterase (Glycerophosphocholine)"
Fructose and mannose metabolism,"Hexokinase (D-Fructose:ATP)"
Histidine metabolism,"Histidase"
Nucleotide salvage pathway,"Hypoxanthine Phosphoribosyltransferase (Hypoxanthine)"
"Transport, extracellular","Hypoxanthine Transport"
Histidine metabolism,"Imidazole Acetaldeyde Dehydrogenase"
Purine synthesis,"IMP Cyclohydrolase"
Histidine metabolism,"Imidazolonepropionase"
Pyruvate metabolism,"Lactaldehyde Dehydrogenase"
Pyruvate metabolism,"D-Lactate Dehydrogenase"
Glycolysis/gluconeogenesis,"L-Lactate Dehydrogenase"
Pyruvate metabolism,"Lactoylglutathione Lyase"
Starch and sucrose metabolism,"Alpha-Glucosidase"
Citric acid cycle,"Malate Dehydrogenase"
Inositol phosphate metabolism,"Myo-Inositol 1-Phosphatase"
Inositol phosphate metabolism,"Myo-Inositol 3-Phosphatase"
Inositol phosphate metabolism,"Myo-Inositol 4-Phosphatase"
NAD metabolism,"Nicotinate D-Ribonucleotide Phosphohydrolase"
Pyrimidine catabolism," 5'-Nucleotidase (dCMP)"
Vitamin B2 metabolism,"5-Nucleotidase (dTMP)"
Miscellaneous,"Oxaloacetate Decarboxylase"
Urea cycle,"Ornithine Decarboxylase"
Glycolysis/gluconeogenesis,"Phosphofructokinase"
Phenylalanine metabolism,"Phenylalanine Transaminase"
"Transport, extracellular","Phosphate Transport In/Out via Three Na+ Symporter"
Purine synthesis,"Phosphoribosylformylglycinamidine Synthase"
Vitamin B6 metabolism,"Pyridoxamine Kinase"
Vitamin B6 metabolism,"Pyridoxine Kinase"
Glycolysis/gluconeogenesis,"Pyruvate Kinase"
"Glycine, serine, alanine, and threonine metabolism","L-Threonine Deaminase"
Nucleotide interconversion,"Thymidylate Synthase"
Tyrosine metabolism,"Tyrosine Transaminase"
"Transport, extracellular","D-Xylose Reversible Transport"
Miscellaneous,"D-Glyceraldehyde:NAD+ Oxidoreductase Ec:1.2.1.3"
Folate metabolism,"5-Methyltetrahydrofolate:NAD+ Oxidoreductase / Ec:1.5.1.20"
"Transport, extracellular","Y+Lat2 Utilized Transport"
Exchange/demand reaction,"Exchange of Pyridoxine"
"Transport, extracellular","Transport of Pyridoxine via Diffusion"
Exchange/demand reaction,"Exchange of Pyridoxal"
"Transport, extracellular","Transport of Pyridoxal "
Exchange/demand reaction,"Exchange of Pyridoxamine"
"Transport, extracellular","Transport of Pyridoxamine via Diffusion"
Exchange/demand reaction,"Exchange of 4-Hydroxybenzoate"
Exchange/demand reaction,"Exchange of 34Dhpha"
Exchange/demand reaction,"Exchange of Propionate "
Exchange/demand reaction,"Exchange of L-Arabinose "
Galactose metabolism,"UDPglucose-Hexose-1-Phosphate Uridylyltransferase"
Exchange/demand reaction,"Exchange of D-Glucosamine"
Histidine metabolism,"Urocanase"
Exchange/demand reaction,"Exchange of Pyruvate "
"Transport, extracellular","Transport of Pyruvate Reversible via Proton Symport"
Exchange/demand reaction,"Exchange of Trehalose"
Aminosugar metabolism,"N-Acetylglucosamine 2-Epimerase"
Pyrimidine catabolism,"DCMP Deaminase"
Exchange/demand reaction,"Exchange of Biotin "
Exchange/demand reaction,"Exchange of Lactose "
Folate metabolism,"Formate-Tetrahydrofolate Ligase"
Exchange/demand reaction,"Exchange of Adenine "
Exchange/demand reaction,"Exchange of Ethanol "
"Transport, extracellular","Ethanol Reversible Transport"
Exchange/demand reaction,"Exchange of Acetaldehyde "
"Transport, extracellular","Acetaldehyde Reversible Transport"
Exchange/demand reaction,"Exchange of Sucrose "
"Transport, extracellular","Thiamine Transport in via Proton Antiport"
Propanoate metabolism,"Acetoacetyl Coenzyme A:Acetate Coa-Transferase"
Exchange/demand reaction,"Exchange of Heme"
"Transport, mitochondrial","Formiminotetrahydrofolate Cyclodeaminase (Ec 4.3.1.4)"
"Transport, extracellular","Transport of L-Glutamine  via Sodium Symport, Reversible"
Arginine and proline metabolism,"5-Methylthioribose-1-Phosphate Isomerase"
NAD metabolism,"NAD Nucleosidase"
Exchange/demand reaction,"Exchange of Menaquinone 8 "
"Transport, extracellular","Menaquinone Secretion/ Uptake (Menaquinone 8)"
Folate metabolism,"Methylenetetrahydrofolate Dehydrogenase (NAD)"
Exchange/demand reaction,"Exchange of Guanine "
Methionine and cysteine metabolism,"Adenosylhomocysteinase"
Exchange/demand reaction,"Exchange of 4-Aminobutanoate "
"Transport, extracellular","Transport of 4-Aminobutyrate  via Proton Symport, Reversible"
"Glycine, serine, alanine, and threonine metabolism","2-Oxobutanoate Dehydrogenase, Cytosolic"
Exchange/demand reaction,"Exchange of Taurine "
Exchange/demand reaction,"Exchange of Phenylpyruvate"
Exchange/demand reaction,"Exchange of Tyramine"
Exchange/demand reaction,"2-Hydroxyphenylacetate"
Exchange/demand reaction,"Exchange of Lanosterol"
"Transport, extracellular","Transport of Phenylpyruvate via Proton Symport"
"Transport, mitochondrial","Transport of Phenylpyruvate via Proton Symport, Mitochondrial"
"Transport, extracellular","Transport 3-Methoxy-4-Hydroxymandelate, Extracellular"
Exchange/demand reaction,"Exchange of 3-Methoxy-4-Hydroxymandelate"
"Transport, extracellular","Transport of Glyoxylate, Extracellular"
Exchange/demand reaction,"Exchange of Glyoxylate"
"Transport, mitochondrial","2-Methylbutyrylglycine Transport, Mitochondrial"
"Transport, extracellular","2-Methylbutyrylglycine Transport, Extracellular"
Exchange/demand reaction,"Exchange of 2-Methylbutyrylglycine"
"Transport, mitochondrial","3-Methyl-Crotonyl-Glycine Transport, Mitochondrial"
"Transport, extracellular","3-Methyl-Crotonyl-Glycine Transport, Extracellular"
Exchange/demand reaction,"Exchange of 3-Methyl-Crotonyl-Glycine"
"Transport, mitochondrial","Isovalerylglycine Transport, Mitochondrial"
"Transport, extracellular","Isovalerylglycine Transport, Extracellular"
Exchange/demand reaction,"Exchange of Isovalerylglycine"
Tyrosine metabolism,"Acetylation of Tyrosine"
"Transport, mitochondrial","Transport of N-Acetyl-Tyrosine into Cytosol"
"Transport, extracellular","Secretion of N-Acetyl-Tyrosine"
Exchange/demand reaction,"Exchange of N-Acetyl-Tyrosine"
Tyrosine metabolism,"Alternative Route for Formation of Succinylacetone, from Fumarylacetoacetate"
Tyrosine metabolism,"Alternative Route for Formation of Succinylacetone, from Maleylacetoacetate"
Tyrosine metabolism,"Alternative Route for Formation of Succinylacetone, from Succinyl-Acetoacetate"
"Transport, extracellular","Transport of Succinylacetone"
Exchange/demand reaction,"Exchange of Succinylacetone"
Tyrosine metabolism,"Formation of Vanilpyruvic Acid from Vanilalanine"
Tyrosine metabolism,"Formation of Vanil-Lactate"
"Transport, mitochondrial","Transport of 3-Methoxy-Tyrosine into Mitochondrial"
Tyrosine metabolism,"Acetylation of 3-Methoxy-Tyrosine "
"Transport, mitochondrial","Transport of Acetyl-Vanilalanine"
"Transport, extracellular","Secretion of Acetyl-Vanilalanine"
"Transport, extracellular","Secretion of Vanil-Lactate"
Exchange/demand reaction,"Exchange of Vanil-Lactate"
Exchange/demand reaction,"Exchange of Acetyl-Vanilalanine"
"Valine, leucine, and isoleucine metabolism","Formation of 2-Hydroxy-3-Methyl-Valerate"
"Transport, extracellular","Transport of 2-Hydroxy-3-Methyl-Valerate"
Exchange/demand reaction,"Exchange of 2-Hydroxy-3-Methyl-Valerate"
"Valine, leucine, and isoleucine metabolism","Formation of 2-Hydroxy-Isovalerate"
"Transport, extracellular","Transport of 2-Hydroxy-Isovalerate"
Exchange/demand reaction,"Exchange of 2-Hydroxy-Isovalerate"
"Valine, leucine, and isoleucine metabolism","Formation of 2-Methyl-3-Hydroxy-Butyrate"
"Transport, mitochondrial","Transport of 2-Methyl-3-Hydroxy-Butyrate, Mitochondrial"
"Transport, extracellular","Transport of 2-Methyl-3-Hydroxy-Butyrate, Extracellular"
Exchange/demand reaction,"Exchange of 2-Methyl-3-Hydroxy-Butyrate"
Propanoate metabolism,"Formation of 2-Methyl-3-Oxo-Valeryl Coa"
Propanoate metabolism,"Formation of 2-Methyl-3-Oxo-Valerate"
"Transport, mitochondrial","Transport of 2-Methyl-3-Oxo-Valerate, Mitochondrial"
Propanoate metabolism,"Formation of 2-Methyl-3-Hydroxy-Valerate"
"Transport, extracellular","Transport of 2-Methyl-3-Hydroxy-Valerate"
Exchange/demand reaction,"Exchange of 2-Methyl-3-Hydroxy-Valerate"
"Valine, leucine, and isoleucine metabolism","Formation of 3-Hydroxy-3-Methyl-Glutarate"
"Transport, extracellular","Transport of 3-Hydroxy-3-Methyl-Glutarate"
Exchange/demand reaction,"Exchange of 3-Hydroxy-3-Methyl-Glutarate"
"Valine, leucine, and isoleucine metabolism","Formation of 3-Methyl-Glutaconate"
"Transport, mitochondrial","Transport of 3-Methyl-Glutaconate, Mitochondrial"
"Transport, extracellular","Transport of 3-Methyl-Glutaconate, Extracellular"
Exchange/demand reaction,"Exchange of 3-Methyl-Glutaconate"
"Valine, leucine, and isoleucine metabolism","Formation of 3-Methyl-Glutarate"
"Transport, extracellular","Transport of 3-Methyl-Glutarate"
Exchange/demand reaction,"Exchange of 3-Methyl-Glutarate"
"Glycine, serine, alanine, and threonine metabolism","Formation of Propionyl-Glycine"
"Transport, mitochondrial","Transport of Propionyl-Glycine, Mitochondrial"
"Transport, extracellular","Transport of Propionyl-Glycine, Extracellular"
Exchange/demand reaction,"Exchange of Propionyl-Glycine"
Cholesterol metabolism,"Formation of Mevalonate-Lactone"
"Transport, extracellular","Transport of Mevalonate-Lactone"
Exchange/demand reaction,"Exchange of Mevalonate-Lactone"
"Glycine, serine, alanine, and threonine metabolism","Formation of Tiglylglycine"
"Transport, mitochondrial","Transport of Tiglylglycine, Mitochondrial"
"Transport, extracellular","Transport of Tiglylglycine, Extracellular"
Exchange/demand reaction,"Exchange of Tiglylglycine"
Lysine metabolism,"Acyl Coenzyme A Dehydrogenase for Glutaryl Coenzyme A, Forming Trans-Delta-2-Glutaryl Coenzyme A"
Lysine metabolism,"Acyl Coenzyme A Dehydrogenase for Glutaryl Coenzyme A, Forming 3-Hydroxy-Glutaryl Coenzyme A"
Lysine metabolism,"Formation of 3-Hydroxy-Glutarate"
"Transport, mitochondrial","Transport of 3-Hydroxy-Glutarate, Mitochondrial"
"Transport, extracellular","Transport of 3-Hydroxy-Glutarate, Extracellular"
"Transport, extracellular","Transport of 3-Hydroxy-Glutarate, Extracellular, Antiport"
Exchange/demand reaction,"Excahnge of 3-Hydroxy-Glutarate"
Lysine metabolism,"Formation of Glutaconyl Coenzyme A"
Lysine metabolism,"Formation of Glutaconic Acid"
"Transport, mitochondrial","Transport of Glutaconate, Mitochondrial"
"Transport, extracellular","Transport of Glutaconate, Extracellular"
Exchange/demand reaction,"Exchange of Glutaconate"
"Valine, leucine, and isoleucine metabolism","Formation of 3-Hydroxy-Isovalerate"
"Transport, mitochondrial","Transport of 3-Hydroxy-Isovalerate, Mitochondrial"
"Transport, extracellular","Transport of 3-Hydroxy-Isovalerate, Extracellular"
Exchange/demand reaction,"Exchange of 3-Hydroxy-Isovalerate"
Fatty acid oxidation,"Formation of 3-Hydroxy-Adipoyl Coa"
Fatty acid oxidation,"Formation of 3-Hydroxy-Adipate"
"Transport, peroxisomal","Transport of 3-Hydroxy-Adipate, Peroxisomal"
"Transport, extracellular","Transport of 3-Hydroxy-Adipate, Extracellular"
Exchange/demand reaction,"Exchange of 3-Hydroxy-Adipate"
Fatty acid oxidation,"Formation of 3-Hydroxy-Sebacoyl Coa"
Fatty acid oxidation,"Formation of 3-Hydroxy-Sebacic Acid"
"Transport, peroxisomal","Transportof 3-Hydroxy-Sebacic Acid, Peroxisomal"
"Transport, extracellular","Transport of 3-Hydroxy-Sebacic Acid, Extracellular"
Exchange/demand reaction,"Exchange of 3-Hydroxy-Sebacic Acid"
Fatty acid oxidation,"Formation of 3-Hydoxy-Suberyl Coa"
Fatty acid oxidation,"Formation of 3-Hydoxy-Suberic Acid"
"Transport, peroxisomal","Transport of 3-Hydoxy-Suberic Acid, Peroxisomal"
"Transport, extracellular","Transport of 3-Hydoxy-Suberic Acid, Extracellular"
Exchange/demand reaction,"Exchange of 3-Hydoxy-Suberic Acid"
Fatty acid oxidation,"Formation of Hexanoic Acid"
Fatty acid oxidation,"Formation of 5-Hydroxy-Hexanoate"
"Transport, extracellular","Transport of 5-Hydroxy-Hexanoate, Extracellular"
Exchange/demand reaction,"Exchange of 5-Hydroxy-Hexanoate"
Fatty acid oxidation,"Formation of 7-Hydroxy-Octanoate"
"Transport, extracellular","Transport of 7-Hydroxy-Octanoate, Extracellular"
Exchange/demand reaction,"Exchange of 7-Hydroxy-Octanoate"
Fatty acid oxidation,"Formation of Ethylmalonyl Coa"
Fatty acid oxidation,"Formation of Ethylmalonic Acid"
"Transport, extracellular","Transport of Ethylmalonic Acid"
Exchange/demand reaction,"Exchange of Ethylmalonic Acid"
"Glycine, serine, alanine, and threonine metabolism","Formation of Hexanoyl-Glycine"
"Transport, extracellular","Transport of Hexanoyl-Glycine"
Exchange/demand reaction,"Exchange of Hexanoyl-Glycine"
Fatty acid oxidation,"Formation of Methyl-Succinyl Coa"
Fatty acid oxidation,"Formation of Methyl-Succinate"
"Transport, extracellular","Transport of Methyl-Succinate"
Exchange/demand reaction,"Exchange of Methyl-Succinate"
"Glycine, serine, alanine, and threonine metabolism","Formation of Suberyl-Glycine"
"Transport, extracellular","Transport of Suberyl-Glycine"
Exchange/demand reaction,"Exchange of Suberyl-Glycine"
Glutamate metabolism,"Formation of 4-Hydroxy-Butyrate"
"Transport, mitochondrial","Transport of 4-Hydroxy-Butyrate, Mitochondrial"
"Transport, extracellular","Transport of 4-Hydroxy-Butyrate, Extracellular"
Exchange/demand reaction,"Exchange of 4-Hydroxy-Butyrate"
"Transport, extracellular","Transport of 12-Hydroperoxyeicosa-5, 8, 10, 14-Tetraenoate, by Diffusion"
"Transport, extracellular","Transport of 15(S)-HPETE, Diffusion"
"Transport, extracellular","3-Amino-Isobutyrate Transport, Sodium Symport"
